6.30143e+06	15.6563
0.776087	-10.0308	saddam hussein
0.873278	-10.0314	attorney general
0.783964	-10.035	northern ireland
0.581886	-10.0451	to protect
0.635958	-10.0494	rather than
0.693262	-10.0534	civil war
0.745868	-10.0581	the second half
0.978648	-10.0596	setting up
0.85989	-10.06	manchester united
0.876791	-10.0617	red cross
0.84127	-10.0659	ruling party
0.84127	-10.0661	few days
0.548423	-10.068	wo n't
0.769401	-10.0683	looking for
0.247643	-10.0694	hong kong
0.761488	-10.0742	last season
1	-10.0803	grand slam
0.988848	-10.0803	gross domestic product
0.884273	-10.0813	east timor
0.788599	-10.0871	earlier this year
0.814721	-10.0894	her husband
0.92691	-10.0984	foreign policy
0.638801	-10.0996	his own
0.85879	-10.1087	climate change
0.772093	-10.1096	war crimes
0.992218	-10.122	high - tech
0.853026	-10.1225	developing countries
0.685393	-10.1294	win over
0.656357	-10.1295	same time
0.927835	-10.1316	this weekend
0.721757	-10.1362	- backed
0.857988	-10.1384	st. louis
0.861862	-10.1438	world 's largest
0.835227	-10.1513	north korean
0.511752	-10.1529	three years
0.797403	-10.153	deputy prime minister
0.955224	-10.1555	barack obama
0.77129	-10.1555	foreign ministers
0.78392	-10.1565	in a bid
0.843023	-10.1567	five - year
0.599411	-10.1583	charged with
0.270758	-10.1594	on wednesday
0.814714	-10.1607	high school
0.980159	-10.1641	in recent weeks
0.329892	-10.1644	news agency
0.479962	-10.1679	along with
0.742009	-10.1694	seen as
0.566443	-10.1796	lack of
0.846386	-10.1824	connection with
0.884106	-10.1919	on behalf
0.847561	-10.1937	health care
0.975709	-10.194	ghana
0.865815	-10.1982	bilateral relations
0.92029	-10.2	as many as
0.274662	-10.2	on friday
0.841945	-10.2008	tuesday night
0.511186	-10.2009	to join
0.704255	-10.2023	has become
0.983402	-10.2035	new orleans
0.860317	-10.2046	do so
0.846154	-10.2061	higher than
0.585546	-10.2067	a news conference
0.879599	-10.2105	law enforcement
0.919414	-10.2136	tens of thousands of
0.99569	-10.2148	san jose
0.987234	-10.2205	two weeks ago
0.712695	-10.2243	three days
0.90942	-10.2249	foreign ministry spokesman
0.667976	-10.23	might be
0.861842	-10.2354	saturday night
0.902527	-10.2366	death penalty
0.908088	-10.2398	tel aviv
0.804035	-10.2408	third quarter
0.836478	-10.2485	how much
0.929961	-10.2486	two- thirds
0.831776	-10.2504	sri lankan
0.571429	-10.2538	supreme court
0.670732	-10.2555	finance minister
0.701559	-10.257	u.s. - led
0.781163	-10.2606	interior minister
0.343413	-10.2694	human rights
0.739348	-10.2695	new delhi
0.961864	-10.2699	in recent months
0.918605	-10.2699	ruled out
0.884892	-10.2713	thanks to
0.555556	-10.276	carried out
0.887273	-10.2765	defense ministry
0.884477	-10.2769	told xinhua
0.496568	-10.2811	peace process
0.864583	-10.2819	in an interview with
0.522843	-10.2828	this season
0.920635	-10.289	talk about
0.604096	-10.2901	seoul
0.995349	-10.2927	north carolina
0.964912	-10.2974	this summer
0.462159	-10.3003	36
0.837209	-10.3022	thursday night
0.926531	-10.3033	press release
0.780347	-10.3049	owned by
0.638298	-10.3051	going to be
0.742782	-10.3059	premier league
0.455984	-10.3068	may be
0.846416	-10.3073	interested in
0.995283	-10.3079	managing director
0.538036	-10.3106	dozens of
0.603839	-10.3126	focus on
0.802469	-10.3133	newspaper reported
0.972727	-10.3149	southeast asia
0.869091	-10.3175	soviet union
0.590909	-10.319	long- term
0.520209	-10.3206	by the end of
0.943966	-10.3216	ariel sharon
0.92562	-10.3216	davis cup
0.676991	-10.3221	opens
0.874539	-10.3223	in an effort to
0.985849	-10.3265	little bit
0.995192	-10.327	coast guard
0.78852	-10.3274	an attempt to
0.38893	-10.3319	so far
0.697619	-10.3338	take place
0.797508	-10.3339	world championships
0.201672	-10.3365	last year
1	-10.3382	sierra leone
0.207086	-10.3407	this year
0.995122	-10.3428	condoleezza rice
0.811075	-10.3447	friday night
0.496947	-10.3448	48
0.934498	-10.3554	private sector
0.902439	-10.3555	24 hours
0.516734	-10.3598	secretary of state
0.715385	-10.3598	gold medal
0.882353	-10.3612	leader yasser arafat
0.624754	-10.3619	bin laden
0.535354	-10.3627	security forces
0.861423	-10.3648	two- year
0.95	-10.3653	talking about
0.875969	-10.3656	pointed out that
0.86692	-10.369	this morning
0.852399	-10.3718	presidential elections
0.953704	-10.373	social security
0.730978	-10.3737	in response to
0.427374	-10.3761	tried to
0.848708	-10.3804	capable of
0.663657	-10.3807	possibility of
0.883534	-10.3839	new york city
0.994898	-10.3849	global warming
0.932735	-10.3854	cents per share
0.961905	-10.3863	president boris yeltsin
0.902954	-10.3881	lower house
0.242562	-10.3887	on thursday
0.567388	-10.3903	other countries
0.644397	-10.3923	per cent
0.432327	-10.3973	does n't
0.684597	-10.3974	arrests
0.556452	-10.3977	followed by
0.582301	-10.4	compared to
0.857692	-10.4013	mass destruction
0.854406	-10.4026	should not be
0.758308	-10.4037	take part
0.712766	-10.4037	one- day
0.772871	-10.41	an hour
0.934884	-10.4157	north america
0.689394	-10.416	free trade
0.762346	-10.4176	cannot be
0.873984	-10.4185	i do n't know
0.824818	-10.4254	the dow jones industrial
0.832714	-10.4264	each year
0.906667	-10.4315	percentage points
0.984293	-10.4354	dna
0.75	-10.4377	international airport
0.712707	-10.4408	calling for
0.497976	-10.4414	to buy
0.959799	-10.4429	roman catholic
0.887931	-10.4468	belonging to
0.730994	-10.447	earlier this week
0.504895	-10.4502	his wife
0.80427	-10.4516	better than
0.677665	-10.4551	in addition to
0.886957	-10.4557	roundup :
0.994505	-10.4578	salt lake
0.368698	-10.4581	to keep
0.92823	-10.4595	kansas city
0.429744	-10.462	central bank
0.915888	-10.4631	ranging from
0.795775	-10.4638	served as
0.491252	-10.4645	at home
0.795053	-10.4661	parliamentary elections
0.47088	-10.4681	+
0.799283	-10.4709	sao paulo
0.823755	-10.4757	contact with
0.773649	-10.4768	investigation into
0.843373	-10.4783	media reports
0.673522	-10.4814	interior ministry
0.293229	-10.4825	28
0.670918	-10.4828	- controlled
0.39214	-10.4834	45
0.291084	-10.4856	trying to
0.939394	-10.4891	backs
0.474293	-10.4893	in september
0.811321	-10.4933	over the weekend
0.796364	-10.4936	70 percent
0.835341	-10.4939	hun sen
0.994318	-10.4943	latin american
0.784452	-10.4944	dealing with
0.343304	-10.5005	us dollars
0.846473	-10.5024	cooperate with
0.815385	-10.5029	boss
0.977778	-10.5048	drug trafficking
0.897196	-10.5059	rural areas
0.759197	-10.5063	no. 2
0.58871	-10.5075	linked to
0.621076	-10.5077	to be held
0.99422	-10.5089	ivory coast
0.492918	-10.5091	relations with
0.5	-10.5091	access to
0.925	-10.5096	islamic militants
0.555957	-10.5121	unable to
0.957219	-10.5123	nervous
0.736508	-10.5146	local media
0.871111	-10.5149	an additional
0.810811	-10.5157	opposition parties
0.88785	-10.5257	ethnic albanians
0.639903	-10.5272	financial crisis
0.518341	-10.5278	58
0.640587	-10.5318	economic development
0.613483	-10.5321	no. 1
0.862222	-10.5344	suu kyi
0.842553	-10.5391	suffering from
0.430323	-10.5416	37
0.673973	-10.5426	fires
0.717391	-10.5428	fiscal year
0.597849	-10.543	death toll
0.945946	-10.5452	high - profile
0.897561	-10.5459	step up
0.786517	-10.5463	general manager
0.847162	-10.5501	abortion
0.604444	-10.5538	democratic party
0.955307	-10.5558	world health organization
0.703927	-10.5559	interest rate
0.982353	-10.5561	abu sayyaf
0.853333	-10.5564	general elections
0.410917	-10.5564	wins
0.451372	-10.56	the nation 's
0.993939	-10.5613	crack down
0.484104	-10.5653	gaza strip
0.553875	-10.5663	nuclear weapons
0.305476	-10.5677	women 's
0.414013	-10.5697	cuba
0.855204	-10.5705	breaks
0.954802	-10.5709	uefa cup
0.930108	-10.5715	terror attacks
0.82906	-10.5728	engaged in
0.954545	-10.5729	cope with
0.625304	-10.5737	rangers
0.976331	-10.5743	las vegas
0.816667	-10.5763	port city
0.847534	-10.5779	a long time
0.745645	-10.58	foreign investment
0.739726	-10.5812	delays
0.559921	-10.5818	year ago
0.490937	-10.5819	in an interview
0.711111	-10.5828	opposition leader
0.758123	-10.583	sunday night
0.84	-10.5843	copper
0.934066	-10.5868	pick up
0.954023	-10.5873	president jiang zemin
0.415939	-10.5883	those who
0.624691	-10.5898	bond
0.674352	-10.5921	will be held
0.690909	-10.5928	papers
0.707937	-10.5936	member states
0.855814	-10.5943	step down
0.754513	-10.5949	to remove
0.923913	-10.5955	south american
0.826087	-10.5961	family members
0.873786	-10.5968	a string of
0.901554	-10.5978	hand over
0.993671	-10.6001	mediation
0.755474	-10.603	an emergency
0.740351	-10.6033	gm
0.96988	-10.6045	four years ago
0.539179	-10.6049	toronto
0.964286	-10.605	blue chips
0.759259	-10.605	second quarter
0.818966	-10.6055	azerbaijan
0.634715	-10.606	olympic games
0.48773	-10.6092	to promote
0.80083	-10.6108	aware of
0.652893	-10.6122	the bush administration
0.753676	-10.6148	uk
0.879397	-10.6156	finds
0.284887	-10.6175	south korea
0.560327	-10.619	the fact that
0.485452	-10.6193	air force
0.993548	-10.6197	money laundering
0.729167	-10.6204	denver
0.550296	-10.6213	demand for
0.917582	-10.6216	formula one
0.708197	-10.6216	west indies
0.663793	-10.6225	in line with
0.778656	-10.6231	presidential candidate
0.670588	-10.624	bosnian serb
0.394898	-10.6248	in january
0.912568	-10.6257	under pressure
0.417143	-10.6282	a series of
0.436478	-10.6331	secretary - general
0.676737	-10.6341	general kofi annan
0.855072	-10.6358	recall
0.993464	-10.6359	south carolina
0.719178	-10.6362	will remain
0.936047	-10.6367	in recent days
0.44186	-10.6369	in december
0.907104	-10.6377	benjamin netanyahu
0.993464	-10.6378	dominican republic
0.902703	-10.6392	nasdaq composite index
0.854369	-10.6395	costa rica
0.889474	-10.6397	work together
0.712838	-10.64	panama
0.676829	-10.6412	officials say
0.946108	-10.6452	rocks
0.554415	-10.6455	will continue to
0.793249	-10.6484	the fourth quarter
0.920455	-10.6488	worked out
0.920455	-10.6494	fake
0.601942	-10.6504	baseball
0.697068	-10.6507	how many
0.809735	-10.6549	re- election
0.411899	-10.6553	to prevent
0.336915	-10.6579	zimbabwe
0.980519	-10.6581	associated with
0.8125	-10.6591	likely to be
0.339036	-10.6601	35
0.891892	-10.6605	migrants
0.929412	-10.6626	president jacques chirac
0.730909	-10.664	national assembly
0.862944	-10.664	adults
0.891892	-10.6647	financial institutions
0.830189	-10.6671	ac milan
0.914286	-10.6676	stops
0.962025	-10.6693	focusing on
0.84058	-10.6694	sort of
0.542169	-10.6695	arsenal
0.826291	-10.6718	lower than
0.939394	-10.6738	last summer
0.816514	-10.675	french open
0.913793	-10.6758	several times
0.928571	-10.676	last november
0.913295	-10.6842	bilateral ties
0.539394	-10.6842	ends
0.831731	-10.6842	looking at
0.474259	-10.6843	four years
0.834951	-10.6845	monitors
0.80543	-10.6854	hanoi
0.249892	-10.686	due to
0.908046	-10.6879	took part
0.735849	-10.6884	affected by
0.85641	-10.6891	khmer rouge
0.784483	-10.6896	helps
0.81106	-10.6908	right - wing
0.820755	-10.6909	foster
0.838235	-10.6911	last weekend
0.561674	-10.6912	two months
0.848485	-10.6918	tactics
0.782051	-10.6921	by telephone
0.569476	-10.6946	10 years
0.927273	-10.6962	comply with
0.922156	-10.6962	south america
0.888889	-10.6966	101
0.813953	-10.697	did not say
0.986301	-10.6972	bayern munich
0.73384	-10.6982	inmates
0.671975	-10.6988	focused on
0.879781	-10.6989	first lady
0.859375	-10.7003	illegal immigrants
0.731061	-10.703	tsunami
0.921687	-10.7045	san antonio
0.754032	-10.7053	every year
0.774468	-10.7055	resulted in
0.809302	-10.7058	three - year
0.689189	-10.7059	99
0.88764	-10.7068	mahmoud abbas
0.607895	-10.7085	50 percent
0.793722	-10.7086	task force
0.906433	-10.7089	loyal to
0.468019	-10.7099	its own
0.79638	-10.7101	every day
0.850515	-10.7108	general election
0.763485	-10.7109	johannesburg
0.367761	-10.7116	involved in
0.535934	-10.7125	82
0.498227	-10.7127	gets
0.784141	-10.7133	checks
0.861702	-10.7146	attempting to
0.811321	-10.715	had not been
0.849741	-10.715	restrictions on
0.315714	-10.7167	thai
0.662461	-10.7189	concerns about
0.514231	-10.7191	v
0.744	-10.7224	give up
0.985915	-10.7226	semi - finals
0.189624	-10.7233	germany
0.638235	-10.7251	his father
0.96	-10.7258	regardless of
0.765957	-10.7275	football :
0.203854	-10.7281	australia
0.589873	-10.7299	a dozen
0.947712	-10.7301	depend on
0.55481	-10.7302	call for
0.731518	-10.7302	real madrid
0.635294	-10.7303	denies
0.809524	-10.7304	four - year
0.502762	-10.7311	people were killed
0.509434	-10.7321	pm
0.697509	-10.7338	ap photo
0.688581	-10.7351	waiting for
0.867403	-10.7366	gold medals
0.899408	-10.7373	a handful
0.675585	-10.7379	is currently
0.454545	-10.7392	manila
0.683849	-10.7401	bahrain
0.929936	-10.741	state colin powell
0.929936	-10.7412	anti- terrorism
0.854839	-10.7422	intends to
0.985714	-10.7423	semi - final
0.564403	-10.7425	economic cooperation
0.467095	-10.744	53
0.935484	-10.744	finance ministry
0.924051	-10.7452	troubles
0.81068	-10.7467	under way
0.935065	-10.7467	turned out
0.870787	-10.747	stepped up
0.641337	-10.7471	albania
0.703297	-10.7473	take over
0.893491	-10.7478	exchange rate
0.765217	-10.7494	not out
0.592689	-10.7526	unrest
0.923567	-10.7535	satisfied with
0.853261	-10.7536	dublin
0.918239	-10.7537	files
0.913043	-10.7539	year - on-
0.398817	-10.754	to improve
0.812808	-10.7552	creation of
0.992647	-10.7578	issuing
0.985507	-10.7582	rio de janeiro
0.590078	-10.7603	their homes
0.808824	-10.7604	kiev
0.992593	-10.7604	slower
0.84492	-10.7613	stock markets
0.934211	-10.7632	0.1 percent
0.90184	-10.7644	australians
0.414729	-10.7647	41
0.74477	-10.7653	relationship with
0.765487	-10.7656	edwards
0.706767	-10.7659	at least one
0.420213	-10.7661	66
0.971429	-10.7672	foods
0.803922	-10.7714	friday morning
0.917197	-10.772	winning streak
0.505814	-10.7732	has already
0.992481	-10.7751	releases
0.992481	-10.7751	intellectual property
0.735537	-10.7782	warns
0.80597	-10.7791	seize
0.761062	-10.7793	west african
0.793269	-10.7795	identified as
0.536264	-10.7802	this time
0.367769	-10.7805	losses
0.552448	-10.7805	federal reserve
0.90566	-10.7836	accepting
0.992424	-10.7836	cape town
0.964286	-10.7845	air strikes
0.927152	-10.7849	special envoy
0.992424	-10.7872	memories
0.826316	-10.7878	blues
1	-10.7888	el salvador
0.866279	-10.7895	health ministry
0.473958	-10.7917	terms of
0.944828	-10.7918	bribery
0.503922	-10.7924	probe
0.825397	-10.7941	wednesday morning
0.384439	-10.7944	38
0.825397	-10.7951	few weeks
0.477876	-10.7962	same period
0.977612	-10.7964	depends on
0.992308	-10.7971	new hampshire
0.684982	-10.7991	broke out
0.603989	-10.7997	being held
0.957143	-10.8001	indicates
0.874251	-10.8005	stranded
0.426346	-10.8005	44
0.485294	-10.8009	second round
0.267598	-10.8016	he added
0.956835	-10.8026	pull out
0.931973	-10.8039	macedonian
0.869822	-10.8044	cut off
0.422378	-10.8059	in august
0.629283	-10.8066	93
0.931507	-10.808	clinton administration
0.482633	-10.8083	could n't
0.56391	-10.8102	posts
0.9375	-10.8114	eastern europe
0.977273	-10.8118	medium- sized
0.653199	-10.8121	in favor
0.5	-10.8128	stronger
0.8875	-10.8129	near future
0.579365	-10.813	89
0.671429	-10.8131	movies
0.635783	-10.8132	explosions
0.992188	-10.8133	road map
0.80829	-10.8145	years old
0.970149	-10.815	135
0.618182	-10.8154	southeast asian
0.353816	-10.8162	ukraine
0.448331	-10.8162	met with
0.608824	-10.8163	has taken
0.977273	-10.8164	mud
0.664336	-10.8168	trials
0.496094	-10.8168	expectations
0.943262	-10.8177	receives
0.863905	-10.8178	pullout
0.784314	-10.8182	foreign investors
0.863905	-10.8189	vice - president
0.164658	-10.8201	france
0.552058	-10.8202	foreign affairs
0.708	-10.8219	sony
0.897436	-10.8222	last december
0.771429	-10.8237	oakland
0.94964	-10.824	planting
0.425872	-10.827	63
0.949275	-10.8279	regarded as
0.367679	-10.8279	do not
1	-10.828	phnom penh
0.615854	-10.8283	pain
0.871951	-10.8284	three - month
0.992063	-10.8296	mars
0.14681	-10.8301	prime minister
0.969697	-10.8303	iranians
0.840909	-10.8305	decide whether
0.483992	-10.8315	willing to
0.828729	-10.8332	head of state
0.699605	-10.8333	a year earlier
0.802083	-10.8342	two decades
0.852941	-10.8346	warn
0.695312	-10.8349	autonomous region
0.93007	-10.8358	more than 300
0.731602	-10.8385	threaten
0.636066	-10.8401	estimate
0.67658	-10.8403	executed
0.757009	-10.8455	pledges
0.815217	-10.8461	refusing to
0.879747	-10.8461	as far as
0.692913	-10.8478	utah
0.77451	-10.8483	rejects
0.814208	-10.8512	bolton
0.968992	-10.8539	indian ocean
0.9	-10.8542	cheap
0.465241	-10.8546	bombs
0.367893	-10.8569	72
0.697581	-10.8577	late thursday
0.6875	-10.8579	concert
0.693227	-10.8583	minutes later
0.873418	-10.8599	korean peninsula
0.991803	-10.8605	red sox
0.991803	-10.8605	u. s.
0.364939	-10.8606	to ensure
0.97619	-10.8608	st. petersburg
0.991803	-10.8617	ryder cup
0.358511	-10.8618	vs.
0.672932	-10.8619	riots
0.794737	-10.8623	google
0.272503	-10.8629	brazil
0.585714	-10.8647	illegally
0.674242	-10.8652	crackdown on
0.416427	-10.8655	there was no
0.711864	-10.8675	requests
0.780612	-10.8686	to curb
0.741935	-10.8688	devices
0.820225	-10.8703	finnish
0.815642	-10.8705	100 percent
0.968504	-10.8712	quebec
0.915493	-10.8713	checking
0.991736	-10.8719	hiring
0.65704	-10.872	mozambique
0.675573	-10.8723	to carry out
0.412268	-10.8736	67
0.77665	-10.874	competitors
0.642361	-10.8767	98
0.960938	-10.8771	tours
0.991667	-10.8781	john paul ii
0.927536	-10.8784	losing streak
0.848485	-10.8787	controlled by
0.72973	-10.8797	coaches
0.507625	-10.8797	is scheduled to
0.782383	-10.88	we 're going
0.968254	-10.8801	phillips
0.698347	-10.8806	information about
0.991667	-10.8816	strikers
0.603077	-10.882	an increase
0.475191	-10.8823	kabul
0.93985	-10.8827	take advantage
0.830409	-10.8828	looking forward
0.843373	-10.8833	forests
0.583815	-10.8849	intended to
0.991597	-10.8857	u. s
0.726457	-10.886	what happened
0.711207	-10.886	so much
0.85625	-10.8866	lions
0.851852	-10.8871	set off
0.991597	-10.8875	west ham
0.547315	-10.8891	fight against
0.747619	-10.8906	worried about
0.914286	-10.891	an apparent
0.846626	-10.8916	0.3 percent
0.926471	-10.8925	mir
0.833333	-10.8944	preparations for
0.967742	-10.8948	worry about
0.5	-10.8952	vs
0.644128	-10.8965	itar - tass
0.432476	-10.897	two days
0.991525	-10.8975	reopened
0.436275	-10.8981	threats
0.913669	-10.8982	neighborhoods
0.705128	-10.899	closure
0.594512	-10.8995	wednesday night
0.700422	-10.8997	very good
0.438742	-10.8998	in 1996
0.828402	-10.9001	beijing olympics
0.885135	-10.9004	june 30
0.773196	-10.9005	cool
0.154559	-10.9008	says
0.983333	-10.9014	inter milan
0.581871	-10.9016	sees
0.187255	-10.9017	britain
1	-10.9027	cote d'ivoire
0.890411	-10.9039	purchases
0.869281	-10.9047	diving
0.55615	-10.9052	bill clinton
0.96748	-10.9063	talked about
0.858974	-10.9065	aid workers
0.392523	-10.9066	64
0.518692	-10.9069	an end
0.609677	-10.9084	to settle
0.352814	-10.9093	tennis
0.52	-10.9094	commitment to
0.863636	-10.9095	slip
0.96748	-10.9096	shimon peres
0.84472	-10.9104	return home
0.75	-10.9109	opposes
0.383825	-10.9112	compared with
0.722727	-10.9114	last friday
0.537879	-10.9118	returns
0.589666	-10.9121	awards
0.374541	-10.9122	55
0.768041	-10.9128	operational
0.411504	-10.9129	orders
0.630662	-10.9135	auction
0.868421	-10.9144	preparation for
0.912409	-10.9148	pages
0.601266	-10.9151	to restore
0.894366	-10.9161	national unity
0.906475	-10.9165	free kick
0.477046	-10.9168	national security
0.647059	-10.9171	u.s. open
0.732394	-10.9178	killer
0.619529	-10.9191	monday night
0.791209	-10.9201	complicated
0.696581	-10.9205	tragedy
0.991304	-10.9205	long- standing
0.696581	-10.9208	net profit
0.966942	-10.921	praise
0.966942	-10.9214	giant slalom
0.736842	-10.9216	he told reporters
0.982906	-10.9218	united kingdom
0.821429	-10.9224	cnn
0.141894	-10.9232	japan
0.834356	-10.9234	taking part
0.991304	-10.9235	slim
0.58209	-10.9242	police officers
0.293182	-10.9244	can be
0.464762	-10.9248	racing
0.959016	-10.9286	gordon brown
0.991228	-10.9291	civil servants
0.64	-10.9293	controversy
0.876712	-10.9315	0.2 percent
0.217191	-10.9324	spain
0.673387	-10.9324	frozen
0.820359	-10.9331	vice chairman
0.930233	-10.9337	uranium enrichment
0.851613	-10.9339	third straight
0.543536	-10.9347	do n't think
0.546667	-10.9361	seeks
0.492408	-10.9368	20 percent
0.764398	-10.9373	engineers
0.819277	-10.9373	0.5 percent
0.369512	-10.9376	cyprus
0.917293	-10.9376	house arrest
0.723005	-10.938	more than 20
0.99115	-10.9384	killers
0.966387	-10.9385	tested positive
0.742574	-10.9386	launches
0.832298	-10.9387	111
0.99115	-10.9392	colleges
0.846154	-10.9405	diplomatic ties
0.646617	-10.9415	94
0.95122	-10.9419	too early
0.719626	-10.9419	breakthrough
0.520681	-10.9422	belarus
0.700441	-10.9422	european countries
0.643123	-10.9424	spy
0.333333	-10.9434	canadian
0.692641	-10.9435	accounted for
0.814371	-10.9437	bans
0.646617	-10.9441	blasts
0.418641	-10.9443	77
0.709091	-10.9444	who is also
0.707207	-10.9444	will also be
0.425775	-10.9451	visits
0.393855	-10.9452	in october
0.745	-10.9458	labor party
0.403818	-10.9459	57
0.716279	-10.9474	restored
0.312445	-10.9489	claims
0.845161	-10.9491	manufacturer
0.991071	-10.9492	rioting
0.565217	-10.9492	months ago
0.570588	-10.9494	croatian
0.301731	-10.9499	the associated press
0.58567	-10.9505	search for
0.929134	-10.9508	several hundred
0.486081	-10.9512	ethiopia
0.450368	-10.9513	starts
0.546196	-10.9529	involvement in
0.822086	-10.9532	first leg
0.761905	-10.9542	speed up
0.936	-10.9546	sichuan province
0.880282	-10.9552	reopen
0.902985	-10.9553	tropical storm
0.679325	-10.9555	young people
0.853333	-10.9567	magistrate
0.891304	-10.9571	0.6 percent
0.725962	-10.9572	u.s. ambassador
0.965812	-10.9573	pursued
0.731707	-10.9575	disney
0.692982	-10.9577	gave up
0.909091	-10.9587	as roma
0.625	-10.9591	any other
0.403274	-10.961	romania
0.485961	-10.9615	teachers
0.603333	-10.9621	president clinton
0.202016	-10.9622	because of
0.847682	-10.9634	nets
0.829114	-10.9641	magic
0.83871	-10.9644	types of
0.852349	-10.9647	missile defense
0.915385	-10.9648	identification
0.825	-10.9649	considerable
0.69163	-10.9651	asian games
0.139052	-10.966	russia
0.957627	-10.9668	rely on
0.686957	-10.9671	economic crisis
0.878571	-10.9672	plate
0.982143	-10.9673	parliament speaker
0.686957	-10.9674	sufficient
0.973684	-10.9687	homeland security
0.92126	-10.9688	one- time
0.327723	-10.9691	a total of
0.476891	-10.9697	chelsea
0.908397	-10.9703	19 -year-old
0.798817	-10.9706	dispute over
0.769231	-10.9708	pga tour
0.531414	-10.9708	austrian
0.990909	-10.971	breeding
0.846667	-10.9711	this afternoon
0.654762	-10.9712	in particular
0.756614	-10.9717	methods
0.957627	-10.972	polling stations
0.489978	-10.9727	telecom
0.934959	-10.9728	barred from
0.386963	-10.9732	47
0.982143	-10.9737	organized crime
0.907692	-10.974	jewelry
0.191072	-10.9742	results
0.513447	-10.9743	87
0.616197	-10.9744	tony blair
0.417476	-10.9746	stock market
0.828025	-10.9748	bids
0.901515	-10.975	radiation
0.990826	-10.9755	voluntarily
0.477707	-10.9756	swedish
0.369289	-10.9759	parts of
0.990826	-10.9762	lt. gen.
0.973451	-10.9763	suicide bombers
0.746114	-10.9764	perry
0.990826	-10.9765	abide by
0.400598	-10.9769	ex-
0.755319	-10.9772	tougher
0.706977	-10.9773	reaches
0.394775	-10.9776	54
0.475789	-10.9777	die
0.920635	-10.9789	jan. 1
0.370988	-10.9801	43
0.990826	-10.9802	patent
0.477612	-10.9807	zambia
0.84106	-10.9807	south ossetia
0.199851	-10.9812	italy
0.70892	-10.9812	military action
0.965217	-10.9816	forged
0.775281	-10.9822	xinhua news agency
0.744792	-10.984	diplomatic relations
0.990741	-10.9848	grand jury
0.612676	-10.985	believed to have
0.990741	-10.9852	lock
0.726368	-10.9858	to celebrate
0.956897	-10.9859	early 1990s
0.813665	-10.986	pro- democracy
0.801205	-10.986	jerry
